AREA_NAME,coverage_pct,dist_to_downtown_km,bus_stops,total_daily_trips,avg_trips_per_stop,area_km2,stop_density,gap_quadrant
Malvern West,0.0,21.38,74,7469,100.93243243243244,4.03,18.36,"Dual gap
(bike-poor + bus-poor)"
Morningside Heights,0.0,24.94,133,17465,131.31578947368422,28.955,4.59,"Bike gap only
(bus-rich)"
West Rouge,12.0,25.27,59,7243,122.76271186440678,8.583,6.87,"Bike gap only
(bus-rich)"
Woburn North,0.0,18.23,84,12622,150.26190476190476,6.299,13.34,"Bike gap only
(bus-rich)"
Golfdale-Cedarbrae-Woburn,5.1,18.1,49,7859,160.3877551020408,6.035,8.12,"Bike gap only
(bus-rich)"
Guildwood,39.3,18.85,23,4302,187.04347826086956,3.806,6.04,"Bike gap only
(bus-rich)"
Scarborough Village,42.2,16.76,30,7013,233.76666666666668,3.152,9.52,Well served
Eglinton East,0.1,15.14,46,6964,151.3913043478261,3.223,14.27,"Bike gap only
(bus-rich)"
West Hill,20.5,21.28,69,12136,175.8840579710145,9.626,7.17,"Bike gap only
(bus-rich)"
Morningside,7.3,20.59,35,4900,140.0,5.74,6.1,"Bike gap only
(bus-rich)"
Highland Creek,16.1,22.93,56,7697,137.44642857142858,5.248,10.67,"Bike gap only
(bus-rich)"
Centennial Scarborough,7.2,23.94,41,4904,119.60975609756098,5.468,7.5,"Dual gap
(bike-poor + bus-poor)"
Milliken,0.0,21.06,148,16851,113.85810810810811,9.478,15.62,"Dual gap
(bike-poor + bus-poor)"
Agincourt North,0.0,19.84,81,8570,105.80246913580247,7.262,11.15,"Dual gap
(bike-poor + bus-poor)"
Agincourt South-Malvern West,0.0,18.26,118,14253,120.78813559322033,7.873,14.99,"Dual gap
(bike-poor + bus-poor)"
Dorset Park,0.0,14.94,77,13384,173.8181818181818,6.012,12.81,"Bike gap only
(bus-rich)"
Ionview,0.0,13.18,28,4669,166.75,1.953,14.34,"Bike gap only
(bus-rich)"
Kennedy Park,4.5,13.12,72,12421,172.51388888888889,3.581,20.11,"Bike gap only
(bus-rich)"
Cliffcrest,39.9,14.41,68,8532,125.47058823529412,7.191,9.46,"Bike gap only
(bus-rich)"
Birchcliffe-Cliffside,77.7,10.84,99,10233,103.36363636363636,6.009,16.48,"Bus gap only
(bike-rich)"
Downtown Yonge East,100.0,0.91,23,3945,171.52173913043478,0.809,28.43,Well served
Church-Wellesley,100.0,2.03,16,1469,91.8125,0.556,28.78,"Bus gap only
(bike-rich)"
St Lawrence-East Bayfront-The Islands,31.6,1.9,55,7149,129.98181818181817,11.314,4.86,"Bike gap only
(bus-rich)"
Harbourfront-CityPlace,100.0,1.06,15,3821,254.73333333333332,1.138,13.18,Well served
Wellington Place,100.0,0.96,23,5951,258.7391304347826,0.98,23.47,Well served
