station_id,name,lat,lon,capacity,departures,member_departures,casual_departures,avg_duration_min,peak_hour_dep,arrivals,net_flow,total_activity,trips_per_dock_per_day,member_share,has_2023_trips
7094,14 Arundel Ave,43.6784834,-79.3513564,25,5100,310.0,4790.0,16.921800653594772,17.0,4840,-260,9940,1.089,0.061,True
7095,Danforth Ave / Ellerbeck St,43.677076,-79.35667,14,6556,484.0,6072.0,16.268797030709784,16.0,6059,-497,12615,2.469,0.074,True
7096,Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.33368089999999,19,2154,52.0,2102.0,40.68409161250387,17.0,2210,56,4364,0.629,0.024,True
7097,Riverdale Park North (Broadview Ave),43.671172,-79.354704,15,8336,533.0,7803.0,18.610514635316697,8.0,8176,-160,16512,3.016,0.064,True
7098,Riverdale Park South (Broadview Ave),43.667819,-79.35347,15,1831,350.0,1481.0,19.281075914800656,8.0,1806,-25,3637,0.664,0.191,True
7099,Mill St / Cherry St,43.65141432968699,-79.35680471562972,39,11619,804.0,10815.0,15.352266402731159,17.0,12096,477,23715,1.666,0.069,True
7100,Dundas St E / Regent Park Blvd,43.660207,-79.361275,27,30299,2808.0,27491.0,14.074320384611152,8.0,31952,1653,62251,6.317,0.093,True
7101,Lower Sherbourne St / The Esplanade,43.648655,-79.367061,27,11505,714.0,10791.0,14.12894538606403,8.0,12532,1027,24037,2.439,0.062,True
7102,Nelson St / Duncan St,43.648711,-79.389728,26,28920,1888.0,27032.0,15.017506339326879,17.0,35760,6840,64680,6.816,0.065,True
7103,Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,33,10256,729.0,9527.0,17.833393460738428,17.0,11799,1543,22055,1.831,0.071,True
7104,King St E / River St,43.656784782853144,-79.35627385059036,15,17257,1627.0,15630.0,20.0367068435997,8.0,17719,462,34976,6.388,0.094,True
7105,Queen St E / Sackville St,43.6561111,-79.36138888888888,15,4746,232.0,4514.0,13.849230931310577,8.0,4666,-80,9412,1.719,0.049,True
